name,feature,mask,defects,fold,hight,width,california,pre_missing,post_missing,ratio,cv
cdd9e3a0-5030-49a8-ab76-4469381ee966_0,../data/002_Full+California/img/cdd9e3a0-5030-49a8-ab76-4469381ee966_0.npy,../data/002_Full+California/ann/cdd9e3a0-5030-49a8-ab76-4469381ee966_0.npy,False,-1,512,512,True,False,False,0.0,0
cdd9e3a0-5030-49a8-ab76-4469381ee966_1,../data/002_Full+California/img/cdd9e3a0-5030-49a8-ab76-4469381ee966_1.npy,../data/002_Full+California/ann/cdd9e3a0-5030-49a8-ab76-4469381ee966_1.npy,False,-1,512,512,True,False,False,0.0,3
cdd9e3a0-5030-49a8-ab76-4469381ee966_10,../data/002_Full+California/img/cdd9e3a0-5030-49a8-ab76-4469381ee966_10.npy,../data/002_Full+California/ann/cdd9e3a0-5030-49a8-ab76-4469381ee966_10.npy,False,-1,512,512,True,False,False,0.0,0
cdd9e3a0-5030-49a8-ab76-4469381ee966_100,../data/002_Full+California/img/cdd9e3a0-5030-49a8-ab76-4469381ee966_100.npy,../data/002_Full+California/ann/cdd9e3a0-5030-49a8-ab76-4469381ee966_100.npy,False,-1,512,512,True,False,False,0.0,1
cdd9e3a0-5030-49a8-ab76-4469381ee966_101,../data/002_Full+California/img/cdd9e3a0-5030-49a8-ab76-4469381ee966_101.npy,../data/002_Full+California/ann/cdd9e3a0-5030-49a8-ab76-4469381ee966_101.npy,False,-1,512,512,True,False,False,0.0,3
cdd9e3a0-5030-49a8-ab76-4469381ee966_102,../data/002_Full+California/img/cdd9e3a0-5030-49a8-ab76-4469381ee966_102.npy,../data/002_Full+California/ann/cdd9e3a0-5030-49a8-ab76-4469381ee966_102.npy,False,-1,512,512,True,False,False,0.0,3
cdd9e3a0-5030-49a8-ab76-4469381ee966_103,../data/002_Full+California/img/cdd9e3a0-5030-49a8-ab76-4469381ee966_103.npy,../data/002_Full+California/ann/cdd9e3a0-5030-49a8-ab76-4469381ee966_103.npy,False,-1,512,512,True,False,False,0.0,3
cdd9e3a0-5030-49a8-ab76-4469381ee966_104,../data/002_Full+California/img/cdd9e3a0-5030-49a8-ab76-4469381ee966_104.npy,../data/002_Full+California/ann/cdd9e3a0-5030-49a8-ab76-4469381ee966_104.npy,False,-1,512,512,True,False,False,0.0,0
cdd9e3a0-5030-49a8-ab76-4469381ee966_105,../data/002_Full+California/img/cdd9e3a0-5030-49a8-ab76-4469381ee966_105.npy,../data/002_Full+California/ann/cdd9e3a0-5030-49a8-ab76-4469381ee966_105.npy,False,-1,512,512,True,False,False,0.0,2
cdd9e3a0-5030-49a8-ab76-4469381ee966_106,../data/002_Full+California/img/cdd9e3a0-5030-49a8-ab76-4469381ee966_106.npy,../data/002_Full+California/ann/cdd9e3a0-5030-49a8-ab76-4469381ee966_106.npy,False,-1,512,512,True,False,False,0.0,0
cdd9e3a0-5030-49a8-ab76-4469381ee966_107,../data/002_Full+California/img/cdd9e3a0-5030-49a8-ab76-4469381ee966_107.npy,../data/002_Full+California/ann/cdd9e3a0-5030-49a8-ab76-4469381ee966_107.npy,False,-1,512,512,True,False,False,0.0,0
cdd9e3a0-5030-49a8-ab76-4469381ee966_108,../data/002_Full+California/img/cdd9e3a0-5030-49a8-ab76-4469381ee966_108.npy,../data/002_Full+California/ann/cdd9e3a0-5030-49a8-ab76-4469381ee966_108.npy,False,-1,512,512,True,False,False,0.0,3
cdd9e3a0-5030-49a8-ab76-4469381ee966_109,../data/002_Full+California/img/cdd9e3a0-5030-49a8-ab76-4469381ee966_109.npy,../data/002_Full+California/ann/cdd9e3a0-5030-49a8-ab76-4469381ee966_109.npy,False,-1,512,512,True,False,False,0.0,1
cdd9e3a0-5030-49a8-ab76-4469381ee966_11,../data/002_Full+California/img/cdd9e3a0-5030-49a8-ab76-4469381ee966_11.npy,../data/002_Full+California/ann/cdd9e3a0-5030-49a8-ab76-4469381ee966_11.npy,False,-1,512,512,True,False,False,0.0,2
cdd9e3a0-5030-49a8-ab76-4469381ee966_110,../data/002_Full+California/img/cdd9e3a0-5030-49a8-ab76-4469381ee966_110.npy,../data/002_Full+California/ann/cdd9e3a0-5030-49a8-ab76-4469381ee966_110.npy,False,-1,512,512,True,False,False,0.0,2
cdd9e3a0-5030-49a8-ab76-4469381ee966_111,../data/002_Full+California/img/cdd9e3a0-5030-49a8-ab76-4469381ee966_111.npy,../data/002_Full+California/ann/cdd9e3a0-5030-49a8-ab76-4469381ee966_111.npy,False,-1,512,512,True,False,False,0.0,0
cdd9e3a0-5030-49a8-ab76-4469381ee966_112,../data/002_Full+California/img/cdd9e3a0-5030-49a8-ab76-4469381ee966_112.npy,../data/002_Full+California/ann/cdd9e3a0-5030-49a8-ab76-4469381ee966_112.npy,False,-1,512,512,True,False,False,0.0,2
cdd9e3a0-5030-49a8-ab76-4469381ee966_113,../data/002_Full+California/img/cdd9e3a0-5030-49a8-ab76-4469381ee966_113.npy,../data/002_Full+California/ann/cdd9e3a0-5030-49a8-ab76-4469381ee966_113.npy,False,-1,512,512,True,False,False,0.0,2
cdd9e3a0-5030-49a8-ab76-4469381ee966_114,../data/002_Full+California/img/cdd9e3a0-5030-49a8-ab76-4469381ee966_114.npy,../data/002_Full+California/ann/cdd9e3a0-5030-49a8-ab76-4469381ee966_114.npy,False,-1,512,512,True,False,False,0.0,2
cdd9e3a0-5030-49a8-ab76-4469381ee966_115,../data/002_Full+California/img/cdd9e3a0-5030-49a8-ab76-4469381ee966_115.npy,../data/002_Full+California/ann/cdd9e3a0-5030-49a8-ab76-4469381ee966_115.npy,False,-1,512,512,True,False,False,0.0,2
cdd9e3a0-5030-49a8-ab76-4469381ee966_116,../data/002_Full+California/img/cdd9e3a0-5030-49a8-ab76-4469381ee966_116.npy,../data/002_Full+California/ann/cdd9e3a0-5030-49a8-ab76-4469381ee966_116.npy,False,-1,512,512,True,False,False,0.0,1
cdd9e3a0-5030-49a8-ab76-4469381ee966_117,../data/002_Full+California/img/cdd9e3a0-5030-49a8-ab76-4469381ee966_117.npy,../data/002_Full+California/ann/cdd9e3a0-5030-49a8-ab76-4469381ee966_117.npy,False,-1,512,512,True,False,False,0.0,3
cdd9e3a0-5030-49a8-ab76-4469381ee966_118,../data/002_Full+California/img/cdd9e3a0-5030-49a8-ab76-4469381ee966_118.npy,../data/002_Full+California/ann/cdd9e3a0-5030-49a8-ab76-4469381ee966_118.npy,False,-1,512,512,True,False,False,0.0,1
cdd9e3a0-5030-49a8-ab76-4469381ee966_119,../data/002_Full+California/img/cdd9e3a0-5030-49a8-ab76-4469381ee966_119.npy,../data/002_Full+California/ann/cdd9e3a0-5030-49a8-ab76-4469381ee966_119.npy,False,-1,512,512,True,False,False,0.0,2
cdd9e3a0-5030-49a8-ab76-4469381ee966_12,../data/002_Full+California/img/cdd9e3a0-5030-49a8-ab76-4469381ee966_12.npy,../data/002_Full+California/ann/cdd9e3a0-5030-49a8-ab76-4469381ee966_12.npy,False,-1,512,512,True,False,False,0.0,2
cdd9e3a0-5030-49a8-ab76-4469381ee966_13,../data/002_Full+California/img/cdd9e3a0-5030-49a8-ab76-4469381ee966_13.npy,../data/002_Full+California/ann/cdd9e3a0-5030-49a8-ab76-4469381ee966_13.npy,False,-1,512,512,True,False,False,0.0,0
cdd9e3a0-5030-49a8-ab76-4469381ee966_14,../data/002_Full+California/img/cdd9e3a0-5030-49a8-ab76-4469381ee966_14.npy,../data/002_Full+California/ann/cdd9e3a0-5030-49a8-ab76-4469381ee966_14.npy,False,-1,512,512,True,False,False,0.0,2
cdd9e3a0-5030-49a8-ab76-4469381ee966_15,../data/002_Full+California/img/cdd9e3a0-5030-49a8-ab76-4469381ee966_15.npy,../data/002_Full+California/ann/cdd9e3a0-5030-49a8-ab76-4469381ee966_15.npy,False,-1,512,512,True,False,False,0.0,2
cdd9e3a0-5030-49a8-ab76-4469381ee966_16,../data/002_Full+California/img/cdd9e3a0-5030-49a8-ab76-4469381ee966_16.npy,../data/002_Full+California/ann/cdd9e3a0-5030-49a8-ab76-4469381ee966_16.npy,False,-1,512,512,True,False,False,0.0,3
cdd9e3a0-5030-49a8-ab76-4469381ee966_17,../data/002_Full+California/img/cdd9e3a0-5030-49a8-ab76-4469381ee966_17.npy,../data/002_Full+California/ann/cdd9e3a0-5030-49a8-ab76-4469381ee966_17.npy,False,-1,512,512,True,False,False,0.0,1
cdd9e3a0-5030-49a8-ab76-4469381ee966_18,../data/002_Full+California/img/cdd9e3a0-5030-49a8-ab76-4469381ee966_18.npy,../data/002_Full+California/ann/cdd9e3a0-5030-49a8-ab76-4469381ee966_18.npy,False,-1,512,512,True,False,False,0.0,2
cdd9e3a0-5030-49a8-ab76-4469381ee966_19,../data/002_Full+California/img/cdd9e3a0-5030-49a8-ab76-4469381ee966_19.npy,../data/002_Full+California/ann/cdd9e3a0-5030-49a8-ab76-4469381ee966_19.npy,False,-1,512,512,True,False,False,0.0,2
cdd9e3a0-5030-49a8-ab76-4469381ee966_2,../data/002_Full+California/img/cdd9e3a0-5030-49a8-ab76-4469381ee966_2.npy,../data/002_Full+California/ann/cdd9e3a0-5030-49a8-ab76-4469381ee966_2.npy,False,-1,512,512,True,False,False,0.0,1
cdd9e3a0-5030-49a8-ab76-4469381ee966_20,../data/002_Full+California/img/cdd9e3a0-5030-49a8-ab76-4469381ee966_20.npy,../data/002_Full+California/ann/cdd9e3a0-5030-49a8-ab76-4469381ee966_20.npy,False,-1,512,512,True,False,False,0.0,0
cdd9e3a0-5030-49a8-ab76-4469381ee966_21,../data/002_Full+California/img/cdd9e3a0-5030-49a8-ab76-4469381ee966_21.npy,../data/002_Full+California/ann/cdd9e3a0-5030-49a8-ab76-4469381ee966_21.npy,False,-1,512,512,True,False,False,0.0,0
cdd9e3a0-5030-49a8-ab76-4469381ee966_22,../data/002_Full+California/img/cdd9e3a0-5030-49a8-ab76-4469381ee966_22.npy,../data/002_Full+California/ann/cdd9e3a0-5030-49a8-ab76-4469381ee966_22.npy,False,-1,512,512,True,False,False,0.0,0
cdd9e3a0-5030-49a8-ab76-4469381ee966_23,../data/002_Full+California/img/cdd9e3a0-5030-49a8-ab76-4469381ee966_23.npy,../data/002_Full+California/ann/cdd9e3a0-5030-49a8-ab76-4469381ee966_23.npy,False,-1,512,512,True,False,False,0.0,0
cdd9e3a0-5030-49a8-ab76-4469381ee966_24,../data/002_Full+California/img/cdd9e3a0-5030-49a8-ab76-4469381ee966_24.npy,../data/002_Full+California/ann/cdd9e3a0-5030-49a8-ab76-4469381ee966_24.npy,False,-1,512,512,True,False,False,0.0,2
cdd9e3a0-5030-49a8-ab76-4469381ee966_25,../data/002_Full+California/img/cdd9e3a0-5030-49a8-ab76-4469381ee966_25.npy,../data/002_Full+California/ann/cdd9e3a0-5030-49a8-ab76-4469381ee966_25.npy,False,-1,512,512,True,False,False,0.0,1
